video_id,title,duration,play_count,like_count,comment_count,video_url,cover_url,tags
demo_001,3个职场升职秘诀 打工人必看 #职场 #升职 #干货,58,320000,28500,1200,https://www.tiktok.com/@demo/video/7001001,,职场|升职|干货
demo_002,办公室搞笑瞬间 笑着笑着就哭了 #打工人 #职场日常,35,890000,72000,3200,https://www.tiktok.com/@demo/video/7001002,,打工人|职场|搞笑
demo_003,产品开箱实测 这款真的值 #开箱 #测评 #好物分享,72,156000,12000,580,https://www.tiktok.com/@demo/video/7001003,,开箱|测评|好物
demo_004,爆款文案公式 3秒抓住用户 #营销 #文案 #带货,45,280000,24000,1100,https://www.tiktok.com/@demo/video/7001004,,营销|文案|带货
demo_005,美食教程 10分钟搞定 #美食 #教程 #简单易学,90,420000,35000,1500,https://www.tiktok.com/@demo/video/7001005,,美食|教程
demo_006,热门BGM跟跳 节奏感拉满 #舞蹈 #挑战 #热门,28,1200000,98000,4500,https://www.tiktok.com/@demo/video/7001006,,舞蹈|挑战|热门
demo_007,营销避坑指南 千万别这样投流 #营销 #避坑 #干货,65,189000,15200,820,https://www.tiktok.com/@demo/video/7001007,,营销|避坑|干货
demo_008,打工人摸鱼技巧 别让老板看到 #搞笑 #职场,22,650000,52000,2800,https://www.tiktok.com/@demo/video/7001008,,搞笑|职场
demo_009,爆款带货脚本拆解 看别人怎么卖爆 #带货 #案例 #营销,78,245000,19800,950,https://www.tiktok.com/@demo/video/7001009,,带货|案例|营销
demo_010,生活小技巧 省下不少钱 #生活 #干货 #省钱,42,380000,31000,1400,https://www.tiktok.com/@demo/video/7001010,,生活|干货|省钱
demo_011,产品卖点提炼 一句话打动用户 #营销 #文案 #转化,55,198000,16800,720,https://www.tiktok.com/@demo/video/7001011,,营销|文案|转化
demo_012,职场新人必学 3个沟通技巧 #职场 #沟通 #成长,62,156000,12500,560,https://www.tiktok.com/@demo/video/7001012,,职场|沟通|成长
demo_013,开箱测评 百元好物推荐 #开箱 #测评 #种草,68,210000,17500,890,https://www.tiktok.com/@demo/video/7001013,,开箱|测评|种草
demo_014,搞笑日常 打工人的快乐就这么简单 #搞笑 #日常,25,520000,45000,2100,https://www.tiktok.com/@demo/video/7001014,,搞笑|日常
demo_015,短视频爆款公式 开头3秒决定成败 #营销 #爆款 #技巧,48,275000,23200,1050,https://www.tiktok.com/@demo/video/7001015,,营销|爆款|技巧
demo_016,美食探店 这家真的绝了 #美食 #探店 #推荐,95,145000,11800,520,https://www.tiktok.com/@demo/video/7001016,,美食|探店|推荐
demo_017,热门舞蹈挑战 一起来 #舞蹈 #跟练 #挑战,32,980000,82000,3800,https://www.tiktok.com/@demo/video/7001017,,舞蹈|跟练|挑战
demo_018,营销案例拆解 学会这招转化率翻倍 #营销 #案例 #转化,70,168000,14200,680,https://www.tiktok.com/@demo/video/7001018,,营销|案例|转化
demo_019,职场生存法则 新人必看 #职场 #生存 #干货,52,234000,19200,880,https://www.tiktok.com/@demo/video/7001019,,职场|生存|干货
demo_020,产品种草 这款我必须安利 #种草 #好物 #推荐,38,295000,24800,1150,https://www.tiktok.com/@demo/video/7001020,,种草|好物|推荐
demo_021,文案黄金开头 5种模板直接用 #文案 #营销 #模板,44,212000,17800,780,https://www.tiktok.com/@demo/video/7001021,,文案|营销|模板
demo_022,搞笑段子 笑着笑着就悟了 #搞笑 #段子 #治愈,20,720000,62000,2900,https://www.tiktok.com/@demo/video/7001022,,搞笑|段子|治愈
demo_023,带货话术解析 这样讲用户更愿意买 #带货 #话术 #技巧,60,185000,15600,720,https://www.tiktok.com/@demo/video/7001023,,带货|话术|技巧
demo_024,职场穿搭 通勤也要美美的 #职场 #穿搭 #ootd,40,128000,10200,450,https://www.tiktok.com/@demo/video/7001024,,职场|穿搭|ootd
demo_025,爆款内容3要素 缺一不可 #营销 #爆款 #内容,50,258000,21800,990,https://www.tiktok.com/@demo/video/7001025,,营销|爆款|内容
demo_026,美食复刻 在家也能做出餐厅味道 #美食 #复刻 #教程,85,167000,13800,620,https://www.tiktok.com/@demo/video/7001026,,美食|复刻|教程
demo_027,热门bgm卡点 秒变高级感 #舞蹈 #卡点 #热门,26,1100000,92000,4200,https://www.tiktok.com/@demo/video/7001027,,舞蹈|卡点|热门
demo_028,营销ROI分析 这样投才不亏 #营销 #ROI #投放,55,142000,11800,540,https://www.tiktok.com/@demo/video/7001028,,营销|ROI|投放
demo_029,打工人心酸瞬间 谁懂 #打工人 #职场 #共鸣,30,580000,48000,2200,https://www.tiktok.com/@demo/video/7001029,,打工人|职场|共鸣
demo_030,产品评测 真实使用体验 #测评 #评测 #真实,75,192000,16200,750,https://www.tiktok.com/@demo/video/7001030,,测评|评测|真实
